,word,start_time,end_time
0,東京都第4区真理教麻原彰晃34歳,2.5,7.8
1,真理党党首東京4区を考える会会長、宗教法人オウム真理教代表役員。,9.0,18.6
2, 宗教家、文筆家、作曲家、政治家とし、国際的に活動。,19.8,25.7
3, では、麻原彰晃さんの政見放送です。,27.4,30.7
4, 杉並中野、渋谷の皆さん,37.3,40.3
5, 真理党党首,41.4,42.5
6, 麻原彰晃です。,43.6,45.0
7, 私は五つの政策を訴えたいと思います。,46.8,51.3
8, その第一は消費税ダンク廃止。,52.7,57.0
9, だいには福祉推進。,57.9,60.1
10, 第3話教育改革。,61.3,63.4
11, 第4話医療改革そして第5は直接民主政治の一部導入です,64.2,72.3
12, この第1から第5話目までの政策についてこれからお話をしたいと思います,73.6,80.5
13, まず、消費税廃止の問題かな。,83.1,86.6
14, 私たち心理等の調査によりますと、,88.4,91.6
15, 現在の自民党現在の政府は約11兆円の税金の無駄遣いをしていますがこれは個人の問題あるいは,93.2,107.0
16, 無駄な期間あるいは,108.7,111.5
17, 無駄な人員の問題ありは天下りの問題いろいろあります。,113.0,118.1
18, そしてそれを整理することにより,119.2,122.6
19, 11兆円も節税できます。,123.5,125.8
20, そしてその整理をする時に,126.9,128.5
21, 人員削減を一切行わないでつまり誰の首切をすることもなく11兆円の削減ができるのです,130.2,139.5
22, おそらく皆さんのポストに真理との詮索ファンク進化というものがお届けお届けになっているはずですそれをお読みになれば真理党の政策がいかに皆さんの生活を守りそして豊かにするものであるかということがご理解頂けるはずです,141.1,164.1
23, この11丁目の節税は何を意味するのでしょうか。,167.4,171.4
24, 消費税の見込財源は6兆円です。,174.4,177.5
25, つまり、消費税なしでも5兆円の余計に税金を余らせることができる。,178.5,184.6
26, そして信じて、俺はその5兆円を,185.9,189.1
27, 福祉に当てたいと考えております。,191.5,193.2
28, GNP 第二位の日本国の国民総生産第2位の日本に果たして福祉は存在するのでしょうか。,194.4,204.0
29, これは欧米と比較しても決して福祉の水準は高くありません。,206.1,212.5
30, よって心理遠出は徹底的な行政改革を行いそして余剰の5兆円を福祉に当てたいと考えています,213.3,222.5
31, 第3の問題点これは教育問題です。,224.3,228.4
32, 日本には資源がありません。,229.8,232.1
33, KUMON 資源のない日本,232.9,234.2
34, 今の子供たちの心を育み成長させそして才能豊かな子供達を作ることこれこそが,235.8,245.9
35, 21世紀の,247.1,248.2
36, 日本の未来を築く土台ではないでしょうか。,249.3,253.0
37, そしてそのために真理とでは,254.8,257.7
38, 教育カリキュラムの改革あるいは,259.0,261.6
39, 子供の心を育むためのいろいろな教育改革を考えています。,262.9,268.6
40, 4番目は医療の問題です。,270.9,272.8
41, この医療については三つの点から考えなければなりません。,275.0,279.8
42, その一つはまず予防医学の問題。,280.6,283.5
43, これ、私たちが気づかないうちに。,284.4,286.7
44, 自然に。,287.8,288.4
45, 食べ物あるいは空気といった汚染物質を入れなければならないそして病んでしまう,290.5,298.2
46, その汚染物質のほとんどが発がん性物質ですしかしそれに対して厚生省は何ら警告を与えません。,299.2,307.0
47, 次に、,309.5,310.1
48, 実際に病院に入院した場合あるいは病院にかかった場合どうなのかとこれは薬漬け検査次の問題がありますこの薬漬け検査付というものは皆さんもご存知の通り実際に薬が体に効くということがそれだけ私たちの体を大切という要因でもあります,311.3,333.8
49, そして最後は、,336.1,337.0
50, 治療法の問題ですこれは真実では西洋医学と東洋医学の統合を図ろうと考えております。,338.7,346.4
51, 真理どうです。,348.3,349.2
52, 麻原彰晃です。,350.4,351.6
53, 東京4区の皆さん、宜しくお願い致します。,352.6,355.4
54, 東京都第4区真理党麻原彰晃さんの放送でした。,360.5,365.7
55, 東京都第4区,369.3,370.8
